time	V(n006)	V(n010)
0.000000000000000e+000	0.000000e+000	5.000000e+000
2.310719994762621e-006	1.155360e+000	5.000000e+000
3.310719994762621e-006	1.655360e+000	4.999992e+000
3.690194770624445e-006	1.845097e+000	4.999906e+000
3.848814692627910e-006	1.924407e+000	4.999674e+000
3.950876922852521e-006	1.975438e+000	4.999318e+000
3.968439299289979e-006	1.984220e+000	4.999221e+000
3.985303319504764e-006	1.992652e+000	4.999107e+000
3.991008324481914e-006	1.995504e+000	4.999066e+000
3.995393502383209e-006	1.997697e+000	4.999033e+000
3.999147304330864e-006	1.999574e+000	4.999004e+000
4.003153908219870e-006	2.001577e+000	4.998972e+000
4.009564585206441e-006	2.004782e+000	4.998920e+000
4.020345921963413e-006	2.010173e+000	4.998827e+000
4.038930948729383e-006	2.019465e+000	4.998650e+000
4.071361387419571e-006	2.035681e+000	4.998293e+000
4.128906303859783e-006	2.064453e+000	4.997479e+000
4.237754497009320e-006	2.118877e+000	4.995493e+000
4.301583891736935e-006	2.150792e+000	4.993990e+000
4.374988239687621e-006	2.187494e+000	4.991727e+000
4.496552857815717e-006	2.248276e+000	4.986915e+000
4.623491114404366e-006	2.311746e+000	4.979946e+000
4.877367627581662e-006	2.438684e+000	4.957588e+000
5.385120653936256e-006	2.692560e+000	4.871020e+000
6.385120653936256e-006	3.192560e+000	4.550828e+000
7.385120653936255e-006	3.692560e+000	3.996172e+000
8.385120653936256e-006	4.192560e+000	3.165976e+000
8.999999999999999e-006	4.500000e+000	2.516006e+000
9.406633757607497e-006	4.703317e+000	2.054961e+000
9.999999999999999e-006	5.000000e+000	1.409659e+000
1.005933662423925e-005	5.000000e+000	1.355734e+000
1.017800987271775e-005	5.000000e+000	1.253247e+000
1.041535636967475e-005	5.000000e+000	1.072484e+000
1.089004936358875e-005	5.000000e+000	7.791818e-001
1.144915727640290e-005	5.000000e+000	5.202767e-001
1.197631810675685e-005	5.000000e+000	3.498562e-001
1.248494838279778e-005	5.000000e+000	2.386405e-001
1.304804886706075e-005	5.000000e+000	1.554770e-001
1.356081465839066e-005	5.000000e+000	1.045326e-001
1.408788392274932e-005	5.000000e+000	6.960127e-002
1.458246655343902e-005	5.000000e+000	4.745837e-002
1.509652977877512e-005	5.000000e+000	3.192225e-002
1.559258234517077e-005	5.000000e+000	2.174065e-002
1.610238550259983e-005	5.000000e+000	1.465959e-002
1.659878703043722e-005	5.000000e+000	9.978379e-003
1.710495173471745e-005	5.000000e+000	6.745063e-003
1.760199330740846e-005	5.000000e+000	4.588953e-003
1.810622253336001e-005	5.000000e+000	3.106113e-003
1.860405990856747e-005	5.000000e+000	2.111877e-003
1.910653193375397e-005	5.000000e+000	1.431265e-003
1.960524822963212e-005	5.000000e+000	9.725611e-004
2.010724875413782e-005	5.000000e+000	6.593092e-004
2.060640189957253e-005	5.000000e+000	4.478534e-004
2.110784955887529e-005	5.000000e+000	3.037224e-004
2.160730597317147e-005	5.000000e+000	2.062680e-004
2.210842529976132e-005	5.000000e+000	1.399180e-004
2.260813053287496e-005	5.000000e+000	9.500599e-005
2.310902022055810e-005	5.000000e+000	6.445593e-005
2.360889863944141e-005	5.000000e+000	4.376093e-005
2.410962879880312e-005	5.000000e+000	2.969254e-005
2.460963051654619e-005	5.000000e+000	2.015734e-005
2.511025422703493e-005	5.000000e+000	1.367813e-005
2.561033762676991e-005	5.000000e+000	9.285130e-006
2.611089668173458e-005	5.000000e+000	6.300877e-006
2.661102336598020e-005	5.000000e+000	4.277108e-006
2.711155979774949e-005	5.000000e+000	2.902483e-006
2.761168444892519e-005	5.000000e+000	1.970255e-006
2.811225496650717e-005	5.000000e+000	1.336996e-006
2.861230653427890e-005	5.000000e+000	9.076354e-007
2.911301000516447e-005	5.000000e+000	6.158509e-007
2.961285410861630e-005	5.000000e+000	4.181520e-007
3.011388820825724e-005	5.000000e+000	2.836553e-007
3.061324795007861e-005	5.000000e+000	1.926760e-007
3.111503076139635e-005	5.000000e+000	1.306295e-007
3.161331826215097e-005	5.000000e+000	8.895355e-008
3.214312583384709e-005	5.000000e+000	5.955377e-008
3.277944716034616e-005	5.000000e+000	3.696931e-008
3.351543743076182e-005	5.000000e+000	2.135278e-008
3.444127847701968e-005	5.000000e+000	1.065181e-008
3.544127847701968e-005	5.000000e+000	4.852946e-009
3.644127847701968e-005	5.000000e+000	2.181881e-009
3.744127847701967e-005	5.000000e+000	9.888635e-010
3.844127847701967e-005	5.000000e+000	4.559766e-010
3.944127847701967e-005	5.000000e+000	2.179198e-010
4.044127847701966e-005	5.000000e+000	1.115417e-010
4.144127847701966e-005	5.000000e+000	6.397491e-011
4.244127847701966e-005	5.000000e+000	4.267504e-011
4.344127847701966e-005	5.000000e+000	3.310710e-011
4.444127847701965e-005	5.000000e+000	2.877938e-011
4.544127847701965e-005	5.000000e+000	2.679254e-011
4.644127847701965e-005	5.000000e+000	2.585164e-011
4.744127847701964e-005	5.000000e+000	2.537835e-011
4.844127847701964e-005	5.000000e+000	2.511436e-011
4.944127847701964e-005	5.000000e+000	2.494429e-011
5.044127847701964e-005	5.000000e+000	2.481663e-011
5.144127847701963e-005	5.000000e+000	2.470834e-011
5.244127847701963e-005	5.000000e+000	2.460915e-011
5.344127847701963e-005	5.000000e+000	2.451445e-011
5.444127847701963e-005	5.000000e+000	2.442219e-011
5.544127847701962e-005	5.000000e+000	2.433145e-011
5.644127847701962e-005	5.000000e+000	2.424182e-011
5.744127847701962e-005	5.000000e+000	2.415309e-011
5.844127847701961e-005	5.000000e+000	2.406519e-011
5.944127847701961e-005	5.000000e+000	2.397808e-011
6.044127847701961e-005	5.000000e+000	2.389172e-011
6.144127847701961e-005	5.000000e+000	2.380611e-011
6.244127847701961e-005	5.000000e+000	2.372123e-011
6.344127847701961e-005	5.000000e+000	2.363708e-011
6.444127847701960e-005	5.000000e+000	2.355365e-011
6.544127847701960e-005	5.000000e+000	2.347094e-011
6.644127847701960e-005	5.000000e+000	2.338894e-011
6.744127847701960e-005	5.000000e+000	2.330763e-011
6.844127847701959e-005	5.000000e+000	2.322703e-011
6.944127847701959e-005	5.000000e+000	2.314711e-011
7.044127847701959e-005	5.000000e+000	2.306788e-011
7.144127847701958e-005	5.000000e+000	2.298933e-011
7.244127847701958e-005	5.000000e+000	2.291145e-011
7.344127847701958e-005	5.000000e+000	2.283424e-011
7.444127847701958e-005	5.000000e+000	2.275769e-011
7.544127847701957e-005	5.000000e+000	2.268180e-011
7.644127847701957e-005	5.000000e+000	2.260655e-011
7.744127847701957e-005	5.000000e+000	2.253195e-011
7.844127847701956e-005	5.000000e+000	2.245799e-011
7.944127847701956e-005	5.000000e+000	2.238466e-011
8.044127847701956e-005	5.000000e+000	2.231196e-011
8.144127847701956e-005	5.000000e+000	2.223989e-011
8.244127847701955e-005	5.000000e+000	2.216843e-011
8.344127847701955e-005	5.000000e+000	2.209758e-011
8.444127847701955e-005	5.000000e+000	2.202734e-011
8.544127847701955e-005	5.000000e+000	2.195770e-011
8.644127847701954e-005	5.000000e+000	2.188866e-011
8.744127847701954e-005	5.000000e+000	2.182021e-011
8.844127847701954e-005	5.000000e+000	2.175235e-011
8.944127847701953e-005	5.000000e+000	2.168507e-011
9.044127847701953e-005	5.000000e+000	2.161836e-011
9.144127847701953e-005	5.000000e+000	2.155222e-011
9.244127847701953e-005	5.000000e+000	2.148665e-011
9.344127847701952e-005	5.000000e+000	2.142165e-011
9.544127847701952e-005	5.000000e+000	2.129330e-011
9.744127847701951e-005	5.000000e+000	2.116714e-011
1.004412784770195e-004	5.000000e+000	2.098192e-011
1.024412784770195e-004	5.000000e+000	2.086116e-011
1.044412784770195e-004	5.000000e+000	2.074237e-011
1.064412784770195e-004	5.000000e+000	2.062556e-011
1.084412784770195e-004	5.000000e+000	2.051073e-011
1.104412784770195e-004	5.000000e+000	2.039787e-011
1.124412784770195e-004	5.000000e+000	2.028698e-011
1.144412784770195e-004	5.000000e+000	2.017807e-011
1.334412784770194e-004	5.000000e+000	1.927357e-011
1.524412784770194e-004	5.000000e+000	1.846674e-011
1.714412784770194e-004	5.000000e+000	1.775760e-011
1.904412784770194e-004	5.000000e+000	1.714614e-011
2.094412784770193e-004	5.000000e+000	1.663236e-011
2.284412784770193e-004	5.000000e+000	1.621626e-011
2.474412784770192e-004	5.000000e+000	1.589785e-011
2.758698499055914e-004	5.000000e+000	1.550029e-011
3.042984213341635e-004	5.000000e+000	1.515720e-011
3.327269927627356e-004	5.000000e+000	1.486859e-011
3.611555641913078e-004	5.000000e+000	1.463446e-011
3.895841356198799e-004	5.000000e+000	1.445481e-011
4.180127070484520e-004	5.000000e+000	1.432963e-011
4.464412784770241e-004	5.000000e+000	1.425892e-011
5.090000000000000e-004	5.000000e+000	1.410933e-011
5.100000000000000e-004	5.000000e+000	2.146457e-011
5.101000000000000e-004	4.950000e+000	-2.049868e-011
5.103000000000000e-004	4.850000e+000	-6.804520e-011
5.125000000000000e-004	3.750000e+000	-1.684322e-010
5.145000000000001e-004	2.750000e+000	-1.793865e-010
5.155474341707721e-004	2.226283e+000	-1.744427e-010
5.157490293965530e-004	2.125485e+000	-1.727097e-010
5.157496092592966e-004	2.125195e+000	-1.727043e-010
5.157507689847837e-004	2.124615e+000	-1.726933e-010
5.157530884357578e-004	2.123456e+000	-1.726689e-010
5.157563156560790e-004	2.121842e+000	-1.726214e-010
5.157598890631363e-004	2.120055e+000	-1.725468e-010
5.157602945792169e-004	2.119853e+000	-1.725358e-010
5.157611056113780e-004	2.119447e+000	-1.725109e-010
5.157627276757002e-004	2.118636e+000	-1.724612e-010
5.157644562064572e-004	2.117772e+000	-1.724082e-010
5.157667976009913e-004	2.116601e+000	-1.723365e-010
5.157714775252174e-004	2.114261e+000	-1.721931e-010
5.157762424945455e-004	2.111879e+000	-1.720471e-010
5.157833297331805e-004	2.108335e+000	-1.718299e-010
5.157910330460313e-004	2.104483e+000	-1.715939e-010
5.158017320295171e-004	2.099134e+000	-1.712662e-010
5.158140546563987e-004	2.092973e+000	-1.708887e-010
5.158304657354920e-004	2.084767e+000	-1.703859e-010
5.158500195472825e-004	2.074990e+000	-1.697867e-010
5.158754386865451e-004	2.062281e+000	-1.690075e-010
5.159063830217680e-004	2.046808e+000	-1.680580e-010
5.159460902543259e-004	2.026955e+000	-1.668379e-010
5.159951308237407e-004	2.002434e+000	-1.653272e-010
5.160576887170827e-004	1.971156e+000	-1.633915e-010
5.161357748347119e-004	1.932113e+000	-1.609580e-010
5.162283406220386e-004	1.885830e+000	-1.580416e-010
5.163340577295973e-004	1.832971e+000	-1.546800e-010
5.164315263593277e-004	1.784237e+000	-1.516024e-010
